image,price,price_off,proc_name
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/com/misc/windows_mixed_reality_ultra_badge.jpg,799.99,regular,"Dell - Inspiron 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Black"
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/global/student-hub/badge-student-deals.png,1399.99,regular,"Lenovo - Yoga 720 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Quad Core i7 - 16GB Memory - 512GB SSD - Platinum Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6080/6080237_sa.jpg;maxHeight=145;maxWidth=222,1249.99,regular,"HP - Spectre x360 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - HP finish in natural silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5855/5855804_sa.jpg;maxHeight=145;maxWidth=222,999,regular,Microsoft - Surface Laptop – 13.5” - Intel Core i5 – 4GB Memory – 128GB Solid State Drive - Platinum
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5712/5712023_sa.jpg;maxHeight=145;maxWidth=222,699.99,regular,"Samsung - Notebook 7 Spin 2-in-1 13.3"" Touch-Screen Laptop - Intel® Core™ i5 - 12GB Memory - 1TB Hard Drive - Platinum Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5823/5823029_sa.jpg;maxHeight=145;maxWidth=222,299.99,regular,"Asus - Flip C101PA 2-in-1 10.1"" Touch-Screen Chromebook - Rockchip - 4GB Memory - 16GB eMMC Flash Memory - Silver"
https://assets.bbystatic.com//lib-marketing-badge/dist/images/OnlyAtBestBuy-5691a1792c13f0f594ed4c1bbd4f1875.svg,899.99,clearance,"Asus - 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 2TB Hard Drive - Sandblasted matte black aluminum"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6061/6061500_sa.jpg;maxHeight=145;maxWidth=222,1299.99,regular,"Lenovo - Yoga 920 2-in-1 13.9"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Bronze"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6077/6077503_sa.jpg;maxHeight=145;maxWidth=222,1299.99,regular,"Asus - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 128GB Solid State Drive - Soft touch black"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6111/6111205_sa.jpg;maxHeight=145;maxWidth=222,1349.99,regular,Samsung - Notebook 9 Pro - 15” Touch-Screen Laptop – Intel Core i7 – 16GB Memory – AMD Radeon 540 – 256GB Solid State Drive - Titan silver
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/global/student-hub/badge-student-deals.png,1199.99,regular,"Dell - XPS 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5713/5713010_sa.jpg;maxHeight=145;maxWidth=222,1849.99,onSale,"Alienware - 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB Hard Drive + 128GB Solid State Drive - Silver"
https://assets.bbystatic.com//lib-marketing-badge/dist/images/OnlyAtBestBuy-5691a1792c13f0f594ed4c1bbd4f1875.svg,999.99,regular,"Lenovo - Yoga 720 2-in-1 15.6""Touch-Screen Laptop - Intel Quad Core i7 - 8GB Memory - 256GB Solid State Drive - Platinum Silver"
https://assets.bbystatic.com//lib-marketing-badge/dist/images/OnlyAtBestBuy-5691a1792c13f0f594ed4c1bbd4f1875.svg,474.99,clearance,"Lenovo - Yoga 710 2-in-1 11.6"" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 128GB Solid State Drive - Silver"
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/global/student-hub/badge-student-deals.png,1299,regular,Microsoft - Surface Laptop – 13.5” - Intel Core i5 – 8GB Memory – 256GB Solid State Drive - Platinum
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5713/5713009_sa.jpg;maxHeight=145;maxWidth=222,1649.99,onSale,"Alienware - 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB Hard Drive + 128GB Solid State Drive - Silver"
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/global/student-hub/badge-student-deals.png,2499,regular,"Microsoft - Surface Book 2 - 15"" PixelSense™ Display - i7 / 16GB / 256GB dGPU - Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6080/6080223_sa.jpg;maxHeight=145;maxWidth=222,1399.99,regular,"HP - Spectre x360 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - HP finish in natural silver"
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/global/student-hub/badge-student-deals.png,999,regular,"Google - Pixelbook 12.3"" Touchscreen Chromebook - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5713/5713021_sa.jpg;maxHeight=145;maxWidth=222,1799.99,regular,"Alienware - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB Hard Drive + 128GB Solid State Drive - Silver"
